Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,65.164032,66.445518,62.458000,64.989769,64.989769,62026473
2020-01-21,64.980835,66.768158,64.339943,65.962959,65.962959,57432225
2020-01-22,65.947037,66.336594,64.431686,65.034142,65.034142,59334378
2020-01-23,65.053436,65.207077,61.301872,62.533157,62.533157,60781827
2020-01-24,62.606293,62.938892,58.163483,61.764793,61.764793,65482395
2020-01-25,61.763626,62.457104,60.000862,61.521790,61.521790,41758020
2020-01-26,61.510136,64.427269,60.964546,63.870396,63.870396,51959186
2020-01-27,63.883743,66.207497,63.698360,65.584099,65.584099,65532166
2020-01-28,65.567451,67.728004,65.296539,67.721085,67.721085,60865269
2020-01-29,67.780884,70.614624,67.504265,70.040878,70.040878,75659540
2020-01-30,69.975693,74.977409,68.647552,74.977409,74.977409,96778424
2020-01-31,74.956978,75.985237,69.544380,72.087090,72.087090,113417706
2020-02-01,72.075768,73.889458,71.460777,73.337059,73.337059,76400844
2020-02-02,73.323570,77.843819,71.424896,75.039391,75.039391,120996894
2020-02-03,74.982712,78.116806,74.575500,76.824638,76.824638,112774900
2020-02-04,76.847359,77.226181,73.836639,75.272232,75.272232,80747174
2020-02-05,75.244705,78.849426,74.755692,77.994476,77.994476,86614280
2020-02-06,78.011269,79.774734,76.653351,78.086693,78.086693,89213793
2020-02-07,78.102921,80.611099,78.089775,79.565422,79.565422,110193000
2020-02-08,79.584663,81.499565,77.131836,80.673920,80.673920,106189645
2020-02-09,80.632484,87.652130,80.481102,87.619263,87.619263,124583964
2020-02-10,87.709877,87.815880,83.955643,84.824341,84.824341,138845141
2020-02-11,84.838333,89.837555,82.832687,89.821365,89.821365,145122271
2020-02-12,89.828552,95.259583,89.818062,95.240860,95.240860,188475505
2020-02-13,95.224152,96.047096,90.300674,92.461090,92.461090,156870155
2020-02-14,92.269402,94.891441,91.138084,94.819801,94.819801,134937261
2020-02-15,94.784752,96.777382,87.342964,88.874138,88.874138,146497146
2020-02-16,88.974777,91.950371,80.912369,88.419647,88.419647,152273796
2020-02-17,88.153862,88.807549,79.820824,82.400955,82.400955,164389216
2020-02-18,82.424271,86.647270,81.493553,86.102165,86.102165,141145279
2020-02-19,86.099007,86.526001,78.172081,78.189384,78.189384,106656862
2020-02-20,78.120941,78.901680,75.309441,76.604721,76.604721,155607936
2020-02-21,76.515190,81.856010,75.920242,80.403488,80.403488,135902789
2020-02-22,80.457314,82.698853,78.425583,79.091110,79.091110,133451985
2020-02-23,79.144005,85.245445,79.070633,84.996689,84.996689,133676243
2020-02-24,85.056068,86.022820,77.511795,79.124397,79.124397,145906857
2020-02-25,79.117203,81.506317,75.824944,76.797249,76.797249,150564887
2020-02-26,76.827316,77.703339,69.423958,70.883430,70.883430,143680078
2020-02-27,70.899887,72.326042,67.104088,69.822617,69.822617,126899793
2020-02-28,69.926666,71.293396,66.568390,68.146507,68.146507,108152732
2020-02-29,68.200577,69.108009,66.488533,66.488533,66.488533,100216473
2020-03-01,66.306976,67.650124,63.576675,64.736420,64.736420,101124198
2020-03-02,64.725410,68.927811,64.506676,68.482414,68.482414,109758407
2020-03-03,68.446289,68.778801,65.211906,66.028564,66.028564,102197698
2020-03-04,66.040680,67.899376,65.154831,65.835876,65.835876,100092057
2020-03-05,65.764557,70.088570,65.760269,68.632385,68.632385,96929512
2020-03-06,68.637726,69.701302,67.844360,68.917694,68.917694,135250724
